"!Template name","LANG_SE","LANG_EN"
"_priceplanPageBelowTable1","                    <h2>Vi tar bara betalt när du tjänar pengar</h2>
                    <p>Vi tar betalt per signatur. Vi tror dock
 på att bara ta betalt när vi tillför som mest värde. Därför
 räknar vi bara signaturer i färdigställda dokument där vi utfärdat
 vårt verifikat. Med andra ord, vi tar bara betalt när du gör
 affär.</p>","                    <h2>We only charge you when you make money</h2>
                    <p>We charge you per signature. Though we
 belive in only charging when we add value. Therefore, we only
 count and charge signatures in completed documents. In other
 words, we charge only when you deal.</p>"
"_priceplanPageBelowTable2","                    <h2>Gratis för privatpersoner och enmansföretagare</h2>
                    <p>Det finns tusen skäl varför alla bör signera
 sina dokument elektroniskt. Vår ambition är att alltid jobba
 nära kunden i tätt samarbete. Tyvärr har vi inte möhlighet att
 hjälpa alla målgrupper aktivt. Därför erbjuder vi ett supportfritt
 konto för alla mindre användare. 1 användare, 5 fria signaturer
 per månad och 50 dokument i lagring.</p>","                    <h2>Free for private persons and proprietors</h2>
                    <p>There are a thousand reasons for everyone
 to start singing their documents electronically. Our ambition
 is to work closely and cooperate with our customers. Unfortunently,
 we are not able to help all our target groups activley. Therefore,
 we offer a support-free account for small users. 1 user, 5 free
 signatures per month and storage of 50 documents.</p>"
"_priceplanPageBelowTable3","                    <h2>Rabatter till ej vinstdrivande organisationer</h2>
                    <p>Vi gillar engagemang och eldsjälar som
 vill förändra. Därför stödjer vi ej vinstdrivande organisationer
 genom att erbjuda bra rabatter på våra listpriser.</p>","                    <h2>Discount for non-profit organisations</h2>
                    <p>We enjoy dedication and enthusiasts who
 wants to make a change. We therefore support non-profit organisations
 by offering them large discounts on our list prices.</p>"
"_priceplanPageH1","Priser","Prices"
"_priceplanPageH1Body1","Skriva på dokument snabbt, smidigt och säkert!","Sign documents, fast, simple and secure!"
"_priceplanPageH1Body2","Registrera dig på under minuten och testa 14 dagar redan idag.","Register takes less than a minute, try it out for 14 days starting
 today!"
"_priceplanPageMetaDescription","Signera och arkivera dina avtal elektroniskt. Välj prisplan efter
 dina behov – Free, Small, Business eller Enterprise.","Sign and store your contracts online. Select a priceplan that
 matches your needs Small, Team, Business or Enterprise."
"_priceplanPagePriceplanTop","<th><h2>Prisplan</h2>                                </th>  
                              <th>                          
          <h3>Small</h3>                                    <p>35
 kr/signatur</p>                                </th>       
                         <th>                               
     <h3>Team</h3>                                    <p>32.50
 kr/signatur</p>                                </th>       
                         <th>                               
     <h3>Business</h3>                                    <p>30
 kr/signatur</p>                                </th>       
                         <th>                               
     <h3>Enterprise</h3>                                    <p>Offert</p></th>
                                ","<th><h2>Priceplan</h2>                                </th> 
                               <th>                         
           <h3>Small</h3>                                   
 <p>35 kr/signature</p>                                </th>
                                <th>                        
            <h3>Team</h3>                                   
 <p>32.50 kr/signature</p>                                </th>
                                <th>                        
            <h3>Business</h3>                               
     <p>30 kr/signature</p>                                </th>
                                <th>                        
            <h3>Enterprise</h3>                             
       <p>Offer</p></th>                                "
"_priceplanPageTableHighlightedColumn","                            <li class=""top"">                
                <h3>Business</h3>                           
     <p>30 kr/signatur</p>                            </li> 
                           <li>50</li>                      
      <li class=""odd"">2 000</li>                            <li>Obegränsad</li>
                            <li class=""odd"">Offert</li>     
                       <li>2 x 1h</li>                      
      <li class=""odd"">4h</li>                            <li>Telefon</li>
                            <li class=""odd"">✓</li>          
                  <li>✓</li>                            <li class=""odd"">✓</li>
                            <li>✓</li>                      
      <li class=""odd"">✓</li>                            <li>✓</li>
                            <li class=""odd"">✓</li>          
                  <li>✓</li>                            <li class=""odd"">✓</li>
                            <li>✓</li>                      
      <li class=""odd"">✓</li>                            <li>✓</li>
                            <li class=""odd"">✓</li>          
                  <li>✓</li>                            <li class=""odd"">✓</li>
                            <li>✓</li>                      
      <li class=""odd"">✓</li>                            <li>✓</li>
                            <li class=""odd"">✓</li>          
                  <li></li>                            <li class=""odd""></li>
                            <li></li>                       
     <li class=""odd""></li>                            <li class=""bottom""></li>","                            <li class=""top"">                
                <h3>Business</h3>                           
     <p>30 kr/signature</p>                            </li>
                            <li>50</li>                     
       <li class=""odd"">2 000</li>                           
 <li>Unimited</li>                            <li class=""odd"">Offer</li>
                            <li>2 x 1h</li>                 
           <li class=""odd"">4h</li>                          
  <li>Phone</li>                            <li class=""odd"">✓</li>
                            <li>✓</li>                      
      <li class=""odd"">✓</li>                            <li>✓</li>
                            <li class=""odd"">✓</li>          
                  <li>✓</li>                            <li class=""odd"">✓</li>
                            <li>✓</li>                      
      <li class=""odd"">✓</li>                            <li>✓</li>
                            <li class=""odd"">✓</li>          
                  <li>✓</li>                            <li class=""odd"">✓</li>
                            <li>✓</li>                      
      <li class=""odd"">✓</li>                            <li>✓</li>
                            <li class=""odd"">✓</li>          
                  <li>✓</li>                            <li class=""odd"">✓</li>
                            <li></li>                       
     <li class=""odd""></li>                            <li></li>
                            <li class=""odd""></li>           
                 <li class=""bottom""></li>"
"_priceplanPageTableRow1","                                <td>Antal användare</td>    
                            <td>5</td>                      
          <td>15</td>                                <td>50</td>
                                <td>Offert</td>","                                <td>Number of users</td>    
                            <td>5</td>                      
          <td>15</td>                                <td>50</td>
                                <td>Offert</td>"
