"!Template name","LANG_SE","LANG_EN"
"_Attachment","Bilaga:","Attachment:"
"_Attachments","Bilagor","Attachments"
"_CompanyAccounts","Underkonton","Subaccounts"
"_Document","Dokument","Document"
"_DownloadPDF","Ladda ned PDF","Download PDF"
"_FillInEmail","Fyll i din e-postadress","Fill in your email address"
"_HeadAccountSettings","Kontoinställningar","Account settings"
"_HeadMailApi","Mail API","Mail API"
"_HeadUserInfo","Användaruppgifter","User info"
"_Quote1","”Skönt. Snabbare vändor med kund och man slipper arkivera papper.”","""Nice. Faster responses from customers and no paper archiving."""
"_Quote1By","Mikael Green, VD, Account Factory, Redovisningsbyrå","Mikael Green, CEO, Account Factory, Accounting firm"
"_Quote2","”Man har mycket bättre koll på de avtal som ingåtts. Det är grejen
 tycker jag.”","""The overview of signed contracts is much better. That's the
 thing according to me."""
"_Quote2By","Alexis Barnekow, Försäljningschef, Green Hat People, Teambuilding
 Events","Alexis Barnekow, Sales Manager, Green Hat People, Team building
 Events"
"_Quote3","”Smart lösning.”","”Smart sloution.”"
"_Quote3By","Christoffer Lindquist, VD, Eventbook, Eventpartner","Christoffer Lindquist, CEO, Eventbook, Eventpartner"
"_Quote4","”Tjänsten är väldigt smidig och det visar verkligen hur mycket
 man kan effektivisera avtalsprocessen.”","""The service is very smooth, and it really shows how much more
 efficient the contract processes can be made."""
"_Quote4By","Ola Brundin, Accenture Management Consulting","Ola Brundin, Accenture Management Consulting"
"_Quote5","”Snabbt och överskådligt.”","”Fast and easy to overview.”"
"_Quote5By","Michael Burman, Marknadschef, Coop Nord","Michael Burman, Marketing Manager, Coop Nord"
"_Quote6","”Notera: efter 1 veckas användning börjar era kunder visa produkten
 för andra.”","""Note: after one week's usage, your customer starts showing the
 service to others."""
"_Quote6By","Martin Lindström, IPAS","Martin Lindström, IPAS"
"_QuoteOnVid","”Processerna blir betydligt smidigare.”","""The processes gets much smoother."""
"_QuoteOnVidBy","- Lisa Renander och Julia Hamrin, VD och Säljchef på Go Enterprise","- Lisa Renander och Julia Hamrin, CEO and Sales Manager at Go
 Enterprise"
"_RequestedAttachments","Bägarda bilagor:","Requested attachments:"
"_SaveChanges","Spara ändringar","Save changes"
"_SearchDoc","Sök dokument","Search document"
"_SendReminder","Skicka påminnelse","Send reminder"
"_SortDoc","Dokument","Document"
"_SortParty","Parter","Parties"
"_SortStatus","Status","Status"
"_SortTemplate","Mall","Template"
"_SortTime","Senaste händelse","Last event"
"_SortType","Typ","Type"
"_cancel","Avbryt","Cancel"
"_company","Företag","Company"
"_companyposition","Befattning","Position"
"_delete","Radera","Delete"
"_dialogConfirmSignByAuthorBody1","Är du säker att du vill underteckna dokumentet ","Are you sure you want to sign the document"
"_dialogConfirmSignByAuthorBody2","När","When"
"_dialogConfirmSignByAuthorBody3","undertecknat blir avtalet <strong>juridiskt bindande</strong> och              det färdigställda avtalet skickas till din e-post.","has signed the document, it becomes <strong>legally binding</strong>         and the finished document will be sent to your  e-mail."
"_dialogConfirmSignByAuthorElegBody","Har du ingen e-legitimation? Du kan ladda ned en                e-legitimation från din internetbank eller från                Telia. ","No e-ID? You can download an e-ID from your online bank or from Telia."
"_dialogConfirmSignByAuthorElegClickHere1","Klicka här","Click here"
"_dialogConfirmSignByAuthorElegClickHere2","för att läsa mer.","to read more."
"_dialogConfirmSignByAuthorElegSubHead","Välj typ av e-legitimation","Select type of e-ID"
"_dialogConfirmSignByAuthorHead","Underteckna","Sign"
"_docListTabsDocs","Dokument","Documents"
"_docListTabsOffers","Offerter","Offers"
"_docListTabsTemplates","Mallar","Templates"
"_email","E-post","Email"
"_firstname","Förnamn","First name"
"_forgotpassword","Glömt lösenord","Forgot password"
"_lastname","Efternamn","Last name"
"_listLocalDialogsBody","Är du säker att du vill radera ","Are you sure that you want to delete "
"_listShareDialogBody","Vill du dela detta med alla i din organisation.","Do you want to share this with everyone on your organisation?"
"_listShareDialogHead","Dela","Share"
"_login","Logga in","Log in"
"_of","av","of"
"_ok","OK","OK"
"_options","Alternativ","Options"
"_orgnumber","Org. nr","Corporate ID"
"_password","Lösenord","Password"
"_personnumber","Pers. nr","SSN"
"_phone","Telefonnummer","Phone"
"_priceplanPageVAT","* Alla priser är exkl moms.","* All prices excludes VAT"
"_reminderFormFooterOwnMessage"," Skriv eget meddelande ","Write own message"
"_reminderFormHead","Skicka påminnelse ","Send reminder"
"_reminderFormSendReminder","Skicka påminnelse ","Send reminder"
"_send","Skicka","Send"
"_sendReminder","Skicka påminnelse","SEND REMINDER"
"_sharing","Delning","Sharing"
"_signGuardField1","Jag intygar att:","I certify that:"
"_signGuardField2","          <br/>1. Samtliga undertecknande parter är korrekta.          <br/>2. Jag granskat och förstått dokumentet.         <br/>3. Jag har befogenhet att skriva på dokumentet.","          <br/>1. All signatories are correct.          <br/>2. I have reviewed and understood the document.           <br/>3. I am authorized to sign the document."
"_signatoryMessageIfElse","Har ej levererats","Has not been delivered"
"_signatoryMessageIfSignatoryDatamismatch","Felaktig e-legitmation","Incorrect e-ID"
"_signatoryMessageIfSignatoryDeliveredEmail","Har ej granskat online","Has not reviewed online"
"_signatoryMessageIfSignatoryReaddate","Läst e-post","E-mail read"
"_signatoryMessageIfSignatoryRejecteddate","Avvisat","Rejected"
"_signatoryMessageIfSignatorySeendate","Granskat online","Reviewed online"
"_signatoryMessageIfTimedout","Förfallodatum har passerat","Expired"
"_skrivapa","SkrivaPå","Scrive"
"_tablestatusesCancelled","Avbrutet","Canceled"
"_tablestatusesDelivered","Levererat","Delivered"
"_tablestatusesDraft","Utkast","Draft"
"_tablestatusesEmailOpened","Läst e-post","Email read"
"_tablestatusesSent","Skickat","Sent"
"_tablestatusesSigned","Signerat","Signed"
"_tablestatusesViewedOnline","Granskat online","Reviewed online"
