"!Template name","LANG_SE","LANG_EN"
"_BelowPriceTable1","<h3>Gratis för privatpersoner och enmansföretagare</h3>     
                             <p>Det finns tusen skäl varför alla
 bör signera sina dokument elektroniskt. Vår ambition är att
 alltid jobba nära kunden i tätt samarbete. Tyvärr har vi inte
 möjlighet att hjälpa alla målgrupper aktivt. Därför erbjuder
 vi ett supportfritt konto för alla mindre användare. 1 användare,
 5 fria signaturer per månad och 50 dokument i lagring.</p>","                    <h3>Free for private persons and proprietors</h3>
                    <p>There are a thousand reasons for everyone
 to start singing their documents electronically. Our ambition
 is to work closely and cooperate with our customers. Unfortunately,
 we are not able to help all our target groups actively. Therefore,
 we offer a support-free account for small users. 1 user, 5 free
 signatures per month and storage of 50 documents.</p>"
"_Bemefit1","Minska kostnaderna","Reduce costs"
"_Bemefit1Body","Dokumenthantering är tidskrävande. Tid är pengar. SkrivaPå är
 ett skräddarsytt redskap som optimerar dina processer. Spara
 50-250kr/dokument. ","Document handling is time consuming. Time is money. Scrive is
 a tailored tool that optimizes your processes. Save £5-25 per document."
"_Bemefit2","Snabbare avslut","Faster closures"
"_Bemefit2Body","Snabbare avslut leder till fler avslut. Vi hjälper dig att öka
 din omsättning.","More rapid closures lead to more closures. We help you boost
 your turnover."
"_Bemefit3","Överallt. Alltid.","Any time.  Any place."
"_Bemefit3Body","Arbeta när du vill och var du vill. Glöm problemen med att buda
 dokument jorden runt.","Work whenever ad wherever you want. Forget to send couriers around
 the world."
"_Bemefit4","Starkare bevis","Stronger evidence"
"_Bemefit4Body","SkrivaPå verifierar transaktionen och stärker din bevisposition
 vid konflikt.","Scrive verifies the transaction and strengthens your evidence
 in a conflict."
"_Bemefit5","100% kontroll","100% control"
"_Bemefit5Body","Vår säkra lagring garanterar dokumentens integritet. Äntligen
 full kontroll. ","Our secure storage guarantees the integrity of your documents.
 Finally, absolute control."
"_Bemefit6","Minska frustrationen","Reduce frustration"
"_Bemefit6Body","Det är sällan roligt att vända papper, leta efter förlorade dokument
 och jaga signaturer. SkrivaPå lättar din och dina kunders administrativa
 börda.","It's no fun looking for papers and chasing people to sign. Scrive
 eases your and your customer's administrative burden."
"_Bemefit7","Spara på miljön","Save the environment"
"_Bemefit7Body","Visa att ni tar ansvar. Skippa pappersavtalandet och minska din
 miljöpåverkan.","Show that you take responsibility Ditch the paper contract and
 reduce your affect on the environment."
"_Bemefit8","Image branding","Image branding"
"_Bemefit8Body","Visa era kunder att ni är i framkant och gillar att tänka i nya
 banor.","Show your customers that you use cutting edge technology and
 like new thinking."
"_ButtonCreateAccount","Skapa konto!","Create account!"
"_CreateAccount","Skapa konto!","Create account!"
"_PartnersHead","Partners","Partners"
"_PriceTableHead","                                                        <th>
                                                            
    <h3>Small</h3>                                          
                      <p>Förbättra processerna i den mindre organisationen</p>
                                                        </th>
                                                        <th>
                                                            
    <h3>Team</h3>                                           
                     <p>Effektivisera teamet med enkla medel</p>
                                                        </th>
                                                        <th>
                                                            
    <h3>Business</h3>                                       
                         <p>En helhetslösning för många användningsområden</p>
                                                        </th>
                                                        <th>
                                                            
    <h3>Enterprise</h3>                                     
                           <p>Större volymer, integrationer och
 anpassning</p>                                             
           </th>","                                                        <th>
                                                            
    <h3>Small</h3>                                          
                      <p>Improve small organisations</p>    
                                                    </th>   
                                                     <th>   
                                                            
 <h3>Team</h3>                                              
                  <p>Make your team more efficient</p>       
                                                 </th>      
                                                  <th>      
                                                          <h3>Business</h3>
                                                            
    <p>One solution with many uses</p>                     
                                   </th>                    
                                    <th>                    
                                            <h3>Enterprise</h3>
                                                            
    <p>Larger volume, integrations and customisation</p>    
                                                    </th>"
"_PriceTableHighlightedColumn","<ul class=""highlight-rows"">                                 
                       <li class=""top"">                     
                                           <h3>Business</h3>
                                                            
    <p>En helhetslösning för många användningsområden </p>  
                                                      </li> 
                                                       <li class=""odd"">50
 användare</li>                                             
           <li>                                             
                   <p>2000 signaturer/år</p>                
                                        </li>               
                                         <li class=""odd"">Obegränsad
 lagring</li>                                               
         <li>Avancerade funktioner</li>                     
                                   <li class=""bottom"">      
                                                          <h4>30
 kr/signatur</h4>                                           
                     <a href=""/priser"">Detaljerad prisplan</a>
                                                           </li></ul>","<ul class=""highlight-rows"">                                 
                       <li class=""top"">                     
                                           <h3>Business</h3>
                                                            
    <p>One solution with many uses</p>                     
                                   </li>                    
                                    <li class=""odd"">50 users</li>
                                                        <li>
                                                            
    <p>2000 signatures/year</p>                             
                           </li>                            
                            <li class=""odd"">Unlimited storage</li>
                                                        <li>Advanced
 features</li>                                              
          <li class=""bottom"">                               
                                 <h4>£3/signature</h4>
                                                            
 <a href=""/priser"">Detailed priceplan</a>                   
                                        </li></ul>"
